Suburb;StreetName;Hijack_Inc;Time_of_Inc;Day_Inc
Jeppe;Appolonia Street;15;19.00-23.00;Friday
Jeppe;Berg Street;;;
Jeppe;Browning Street;20;18.00-22.00;Tuesday
Jeppe;College Street;;;
Jeppe;Commissioner Street;5;23.00-04.00;Sunday
Jeppe;Cornelia Street;;;
Jeppe;Corrie Street;;;
Jeppe;Crown Street;16;18.00-22.00;Tuesday
Jeppe;Eleanor Street;;;
Jeppe;Fawcus Street;;23.00-04.00;Sunday
Jeppe;Ford Street;50;18.00-22.00;Friday
Jeppe;Fox Street;;18.00-22.00;Saturday
Jeppe;Grace Street;23;19.00-23.00;Friday
Jeppe;Highgate Street;12;19.00-23.00;Wednesday
Jeppe;Jacoba Street;;;
Jeppe;Main Street;;;
Jeppe;Marshall Street;25;18.00-22.00;Friday
Jeppe;Mordaunt Street;;;
Jeppe;Nourse Street;17;00.00-03.00;Wednesday
Jeppe;Op De Bergen Street;;;
Jeppe;Park Street;15;19.00-23.00;Friday
Jeppe;Stone Street;10;23.00-04.00;Thursday
Hillbrow;Clarendon Place;15;19.00-23.00;Saturday
Hillbrow;Empire Road;20;23.00-04.00;Friday
Hillbrow;King George Street;10;18.00-22.00;Friday
Hillbrow;Queens Road;;;
Hillbrow;Sam Hancock Street;15;00.00-03.00;Thursday
